Item No.,Item Description
X10X40MTAP10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.50 X 40, CL 10.9 FULL THREAD"
X12X1.50X100M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 100, CL 10.9, PT"
X12X25FB10.9,"METRIC FLANGE BOLT, 12 X 25, ZINC, 10.9"
X12X30FB10.9,"METRIC FLANGE BOLT, 12 X 30, ZINC, 10.9"
X12X35FB10.9,"METRIC FLANGE BOLT, 12 X 35, ZINC, 10.9"
X14X1.5X45M10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-1.50 X 45, CL 10.9"
X14X50MF10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 50, CL 10.9"
X14X60MTAP10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 60, CL 10.9 FULL THREAD"
X16X1.5X140M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M16-1.5 X 140, 10.9"
X6X25FB10.9,"METRIC FLANGE BOLT, 6 X 25, ZINC, 10.9"
X8X20MFS10.9,"STAINLESS SERRATED FLANGE BOLT, GRADE 10.9, M8 X 20"
X8X30MFB10.9,"METRIC FLANGE BOLT, 8 X 30, ZINC, 10.9, FT"
X10X1.0X40M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.0 X 40, CL 10.9"
X8X25FB10.9,"METRIC FLANGE BOLT, 8 X 25, ZINC, 10.9 FT"
X8X20FB10.9,"METRIC FLANGE BOLT, 8 X 20, ZINC, 10.9"
X6X20FB10.9,"METRIC FLANGE BOLT, 6 X 20, ZINC, 10.9"
X18X35M10.9,"METRIC CAP SCREW, 18-2.5 X 35, ZINC, 10.9"
X8X30FB10.9,"METRIC FLANGE BOLT, 8 X 30, ZINC, 10.9"
XMETC40AF10.9,ASSORTMENT HEX CAP SCREWS GR 10.9 1305 PCS IN A 40HBB
XMETC40A10.9,ASST METRIC CAPSCREW 10.9
XM20X2.5NPL10.9,HEX NUT METRIC PLAIN M20-2.5 10.9 PLAIN
X10X1.25X85M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 85, CL 10.9"
X10X50MF10.9,"METRIC HEX FLANGE BOLT M10-1.5 X 50MM CL 10.9, ZINC"
X12X1.5X80M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 80, CL 10.9"
X16X1.5X130M10.9,"HEX CAP SCREW BOLT METRIC ZINC M16-1.50 X 130, CL 10.9"
X18X180M10.9,"HEX CAP SCREW BOLT METRIC ZINC M18-2.50 X 180, CL 10.9"
X6X75M10.9,"HEX CAP SCREW BOLT METRIC ZINC M6-1.0 X 75, CL 10.9"
X8X1.0X45M10.9,"HEX CAP SCREW BOLT METRIC ZINC M8-1.0 X 45, CL 10.9"
X12X170M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M12-1.75 X 170, CL 10.9"
X10X30FB10.9,"METRIC FLANGE BOLT, 10 X 30, ZINC, 10.9"
X14X20M10.9,"HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 20, CL 10.9"
X14X65M10.9,HEX CAP SCREW BOLT METRIC ZINC M14-2.0 X 65 CL 10.9
X6X65M10.9,"HEX CAP SCREW BOLT METRIC ZINC M6-1.0 X 65, CL 10.9"
X8X85M10.9,"HEX CAP SCREW BOLT METRIC PLAIN M8-1.25 X 85MM, CL 10.9"
XFLN10X1.5X10.9,"METRIC FLANGE LOCK NUT, 10-1.5, NON-SERRATED, CLASS 10.9 ZINC"
XFLN12X1.75X10.9,"METRIC FLANGE LOCK NUT, 12-1.75, NON-SERRATED, CLASS 10 ZINC"
XFLN8X1.25X10.9,"METRIC FLANGE LOCK NUT, 8-1.5, NON-SERRATED, CLASS 10 ZINC"
X10X1.25X60M10.9,"HEX CAP SCREW BOLT METRIC ZINC M10-1.25 X 60, CL 10.9"
X12X1.50X110M10.9,"HEX CAP SCREW BOLT METRIC ZINC M12-1.50 X 110, CL 10.9"
